,,,,,
,Compras Online 2017,,,,
,Producto,Fecha,Tienda,Estado,Precio
,Tenis Pull&Bear,,Pull&Bear,Recibido,"9,99 €"
,Linterna Eagle Eye X2R,,,Recibido,"13,45 €"
,Broadlink wifi +IR,,,Recibido,"8,77 €"
,Gafas realidad virtual xiaomi,,,Recibido,"12,75 €"
,Pistola de encolar,,,Recibido,"12,00 €"
,2 Gafas realidad virtual 3D,,,Recibido,"39,98 €"
,Pack 40 pilas,,,Recibido,"10,98 €"
,Wifi IR remote,,,Recibido,"8,77 €"
,Batería de linterna Panasonic NCR 18650A 3.7V 3100mAh Rechargeable Li-ion Battery protected,,,Recibido,"7,08 €"
,Pila mando garaje,,,Recibido,"3,50 €"
,Interruptor wifi,,,Recibido,"4,18 €"
,Monopoy,,,Recibido,"17,94 €"
,Tripode movil,,,Recibido,"0,90 €"
,3 spinners,,,Recibido,"5,78 €"
,kit arduino,,,Recibido,"17,31 €"
,Chromecast,,,Recibido,"32,00 €"
,3 spinner,,,Recibido,"2,75 €"
,Mando camara movil,,,Recibido,"1,63 €"
,Tira led con mando,,,Recibido,"5,73 €"
,Botella con tapón mecánico 5 L cristal,,,Recibido,"22,16 €"
,Xiaomi mi band2,,,Recibido,"12,71 €"
,Camara ip wifi,,,Recibido,"12,90 €"
,Mando a distancia garage,,,Recibido,"7,89 €"
,Pantalón y camisa Dani Mango,,,Recibido,"12,95 €"
,Pantalón y vestido Elena Mango,,,Recibido,"12,95 €"
,Bolsa triangulo para bici,,,Recibido,"6,04 €"
,Candado,,,Recibido,"1,61 €"
,Bolsa triangulo bici,,,Recibido,"1,44 €"
,Dos Xiaomi my band 2,,,Recibido,"15,99 €"
,EACHINE E010 Mini Drone,,,Recibido,"9,98 €"
,Soporte movil de brazo running,,,Recibido,"0,83 €"
,Mueble zapatero,,,Recibido,"6,99 €"
,Dos alfombrillas para ratón,,,Recibido,"1,48 €"
,5 pares de calcetines,,,Recibido,"0,86 €"
,OSRAM LIGHTIFY Kit,,,Recibido,"38,94 €"
,Tres timbres inalambricos,,,Recibido,"7,39 €"
,Zapatillas,,,Recibido,"16,80 €"
,Lampara habitación,,,Recibido,"9,99 €"
,Pilas boton Maxell CR2032 ,,,Recibido,"2,24 €"
,Buki juego Química,,,Recibido,"29,90 €"
,JJRC H29C Drone 2.4G,,,Recibido,"16,99 €"
,4 baterias para dron,,,Recibido,"10,99 €"
,Tenis Geox,,,Recibido,"33,96 €"
,-----------Total:  525.45,,,,"509,47 €"
