,,,,,,,
,,Compras Online 2020,,,,,
,,Producto,Fecha,Tienda,Estado,Precio,Precio sin oferta
,,"AZDelivery Adaptador FTDI FT232RL USB to TTL Serial para 3,3V y 5V",08/01/2020,amazon,Recibido,"7,49 €",
,,Echo Dot (3.ª generación) - Altavoz inteligente ,09/01/2020,amazon,Recibido,"0,00 €","34,99 €"
,,HOMFA Manta de Picnic impermeable Plegable Anti-calor,16/01/2020,amazon,Recibido,"7,60 €","18,99 €"
,,ESP32-CAM módulo WiFi ESP32 Serial a WiFi ESP32 CAM Placa de desarrollo 5V Bluetooth con OV2640 módulo de cámara 32-bit CPU 240MHz,09/02/2020,aliexpress,Recibido,"7,30 €",
,,"TECKIN Bombilla Inteligente LED WiFi con luz cálida 2800k-6200k + RGB lámpara color cambiable Funciona con móvil, Google Home , E27 8W",12/02/2020,amazon,Recibido,"12,79 €","16,99 €"
,,Lifewit Mochila de Refrigeración Bolsa Térmica Porta Alimentos Mochila Grande Suave para la Playa/Picnic/Día de Campo/Barbacoa (Negro),20/02/2020,amazon,Recibido,"12,49 €","24,99 €"
,,8 Pares de Pendientes de Acero Inoxidable,24/02/2020,amazon,Recibido,"10,99 €",
,,Colgadores baño,15/03/2020,aliexpress,Recibido,"4,83 €",
,,juguetes estación espacial Saturno V bloques de construcción,15/03/2020,aliexpress,Recibido,"16,69 €",
,,Cola Blanca,14/03/2020,amazon,Recibido,"3,96 €","8,00 €"
,,Martini Rosso Vermouth - 1500 ml,09/04/2020,amazon,Recibido,"9,99 €",
,,Martini Blanco Vermouth - 1500 ml,09/04/2020,amazon,Recibido,"9,99 €",
,,GERUIKE Ganchos Adhesivos Cocina Baño Toalleros Gancho Percha Abrigos Colgador ,18/04/2020,amazon,Recibido,"6,25 €","13,88 €"
,,Pedal para teclado M- Audio SP-2,20/04/2020,Thomann,Recibido,15.60,
,,Teclado Casio CT-X 800,20/04/2020,Thomann,Recibido,"231,00 €",
,,Scottex Acolchado Papel Higiénico - 63 rollos,31/04/2020,amazon,Recibido,"26,95 €",
,,"Cortadora de pelo eléctrica USB Youpin ENCHEN Boost,",09/05/2020,aliexpress,Recibido,"10,75 €",
,,Mascarilla 3 uds Xiaomi SmartMi PM2.5,09/05/2020,aliexpress,Recibido,"13,01 €",
,,"Máscara facial transpirable 10 uds, antipolvo, antiniebla, máscara de boca desechable pm2.5, mascarillas",10/05/2020,aliexpress,Recibido,"15,58 €",
,,Impermeable 15 función LCD bicicleta odómetro,09/05/2020,aliexpress,Recibido,"4,32 €",
,,Dos botellas de Martini 1.500ml,10/05/2020,amazon,Recibido,"19,98 €",
,,Pedido perro,19/05/2020,zooplus,Recibido,"59,36 €",
,,Diario de Viaje Diario Cuaderno Vintage Cuaderno de Cuero,23/05/2020,amazon,Recibido,"15,99 €",
,,"Libro Dame reggaetón, Platón:",23/05/2020,amazon,Recibido,"13,25 €",
,,2 unidades KONCO bola de hielo para whisky Maker 6 rejillas cubitos de hielo bandeja moldes,07/06/2020,aliexpress,Recibido,"9,02 €",
,,Mimosin Moussel Suavizante concentrado - 58 lavados - pack de 8,26/06/2020,amazon,Recibido,"14,52 €","21,42 €"
,,RUBIO VACACIONES - 4º PRIMARIA,30/06/2020,amazon,Recibido,"5,65 €",
,,Scottex Acolchado Papel Higiénico - 63 rollos,30/06/2020,amazon,Recibido,"17,53 €","26,95 €"
,,Scottex Acolchado Papel Higiénico - 63 rollos,02/07/2020,amazon,Recibido,"17,53 €","26,95 €"
