Producto;Fecha;Tienda;Estado;Precio;Precio sin oferta
Xiaomi Watch 2;04/01/2025;Amazon;Recibido;99,99 €;
Vicco Tocador Elara, Blanco, 80 cm con iluminación LED;04/01/2025;Leroy merlin;Recibido;110,90 €;
Scottex Orginal Papel 96 rollos;06/01/2025;aliexpress;Recibido;21,02 €;
Cable de CC de 2,5mm para satisfayer;06/01/2025;aliexpress;Recibido;3,62 €;
Xiaomi Robot Vacuum T12;07/02/2025;Amazon;Recibido;109,36 €;
Forro polar de montaña de hombre;21/02/2025;ElCorte inglés;Recibido;7,79 €;
Zapatillas piel ante Antracita;21/02/2025;ElCorte inglés;Recibido;13,79 €;
Zapatillas piel ante Marrón;21/02/2025;ElCorte inglés;Recibido;13,79 €;
Dixan Gel Adiós al Separar Total 4+1, Detergente Líquido para Lavadora 55 Lavados,;21/02/2025;Amazon;Recibido;11,50 €;
LACER PDL - Pasta de Dientes Duplo 2 x 125;01/03/2025;Amazon;Recibido;14,38 €;
winGluge 675PCS Bolsas Caca Perro;16/03/2025;Amazon;Recibido;10,69 €;
Encendedor Solar para exteriores,;18/03/2025;aliexpress;Recibido;3,73 €;
Cargador de batería 18650;18/03/2025;aliexpress;Recibido;3,29 €;
Linternas Led de alta potencia Xiaomi 2000LM;18/03/2025;aliexpress;Recibido;4,89 €;
Cortadora de pelo eléctrica vintage T9, cortadora de pelo profesional;18/03/2025;aliexpress;Recibido;3,01 €;
Scottex Orginal Papel Higiénico 96 rollos,12rollos*8paquete,rollos;18/03/2025;aliexpress;Recibido;19,43 €;
"Tirachinas de bola de acero brillante, accesorios de tirachinas para deportes al aire libre, caza, tiro, herramientas pequeñas, 2mm-10mm 
5mm 100pcs";18/03/2025;aliexpress;Recibido;2,40 €;
"Cabezal de cepillo de dientes Compatible con cepillo de dientes eléctrico Oral b Braun, cabezales de repuesto de precisión para Pro Smart Genius, eficiente 
8Pcs";18/03/2025;aliexpress;Recibido;2,15 €;
Bridas de nailon 3/100mm;21/03/2025;aliexpress;Recibido;1,29 €;
Receptor de RADIO con manivela Solar, Mini Radio meteorológica AM/FM portátil de EE. UU. con linterna multifuncional, fuente de alimentación de emergencia/banco;21/03/2025;aliexpress;Recibido;14,39 €;
Tirachinas de tres tarjetas, banda de goma, accesorios para tirachinas;21/03/2025;aliexpress;Recibido;2,49 €;
Gafas lenovo lecco c8 blue;02/04/2025;aliexpress;Recibido;12,64 €;
Grifo ducha 6 modos aumento presion Black g746;02/04/2025;aliexpress;Recibido;2,47 €;
Feallive Lámpara de Pared, Aplique de Pared con Mando a Distancia Ambiental RGB con Batería Recargable, Función de Temporizador de 1 Hora con Control Táctil 360° Giratoria (Blanco + Luz de colores);05/04/2025;Amazon;Recibido;8,69 €;28,99 €
Amazon Fire TV Stick 4K Max;05/04/2025;Amazon;Recibido;47,99 €;79,99 €
BALDR G111 Linterna de bolsillo;21/04/2025;aliexpress;Recibido;2,99 €;
Red de almacenamiento para coche maletero;21/04/2025;aliexpress;Recibido;2,19 €;
Medidor de pilas AA/AAA/C/D/9V/1,5 V;21/04/2025;aliexpress;Recibido;1,99 €;
Finish Powerball Power All in 1 Pastillas para el lavavajillas todo en 1 - Pack ahorro 110 pastillas;09/05/2025;Amazon;Recibido;12,66 €;
Sanytol - Limpiador Desinfectante Quitagrasas Para Cocina, Limpia, Elimina Bacterias, Hongos y Virus Sin Lejía, 100% Poder Antigrasa, Perfume Limón - Pack de 4 x 750 ml = 3 L;09/05/2025;Amazon;Recibido;9,48 €;
