Archivo;Año;Mes Num;Mes;Concepto;Grupo;Importe;Total Recibo;Pagado;Deuda
1.pdf;2019;1;ENERO;CUOTACOMUNIDAD;;72,24;102,32;0,00;102,32
1.pdf;2019;1;ENERO;ACS-AGUA CALIENTE;;12,65;102,32;0,00;102,32
1.pdf;2019;1;ENERO;CALEFACCION;;17,43;102,32;0,00;102,32
10.pdf;2019;10;OCTUBRE;CUOTACOMUNIDAD;;72,24;82,55;82,55;0,00
10.pdf;2019;10;OCTUBRE;ACS-AGUA CALIENTE;;10,31;82,55;82,55;0,00
11.pdf;2019;11;NOVIEMBRE;CUOTACOMUNIDAD;;72,24;96,88;96,88;0,00
11.pdf;2019;11;NOVIEMBRE;ACS-AGUA CALIENTE;;23,31;96,88;96,88;0,00
11.pdf;2019;11;NOVIEMBRE;CALEFACCION;;1,33;96,88;96,88;0,00
12.pdf;2019;12;ENERO;CUOTACOMUNIDAD;;72,24;110,19;110,19;0,00
12.pdf;2019;12;ENERO;ACS-AGUA CALIENTE;;17,37;110,19;110,19;0,00
12.pdf;2019;12;ENERO;CALEFACCION;;20,58;110,19;110,19;0,00
2.pdf;2019;2;FEBRERO;CUOTACOMUNIDAD;;72,24;117,31;0,00;117,31
2.pdf;2019;2;FEBRERO;ACS-AGUA CALIENTE;;20,29;117,31;0,00;117,31
2.pdf;2019;2;FEBRERO;CALEFACCION;;24,78;117,31;0,00;117,31
3.pdf;2019;3;MARZO;CUOTACOMUNIDAD;;72,24;124,67;0,00;124,67
3.pdf;2019;3;MARZO;ACS-AGUA CALIENTE;;25,34;124,67;0,00;124,67
3.pdf;2019;3;MARZO;CALEFACCION;;27,09;124,67;0,00;124,67
4.pdf;2019;4;ABRIL;CUOTACOMUNIDAD;;72,24;99,98;0,00;99,98
4.pdf;2019;4;ABRIL;ACS-AGUA CALIENTE;;21,65;99,98;0,00;99,98
4.pdf;2019;4;ABRIL;CALEFACCION;;6,09;99,98;0,00;99,98
5.pdf;2019;5;MAYO;CUOTACOMUNIDAD;;72,24;96,65;96,65;0,00
5.pdf;2019;5;MAYO;ACS-AGUA CALIENTE;;21,96;96,65;96,65;0,00
5.pdf;2019;5;MAYO;CALEFACCION;;2,45;96,65;96,65;0,00
6.pdf;2019;6;JUNIO;CUOTACOMUNIDAD;;72,24;92,27;92,27;0,00
6.pdf;2019;6;JUNIO;ACS-AGUA CALIENTE;;20,03;92,27;92,27;0,00
7.pdf;2019;7;JULIO;CUOTACOMUNIDAD;;72,24;90,96;90,96;0,00
7.pdf;2019;7;JULIO;ACS-AGUA CALIENTE;;18,72;90,96;90,96;0,00
8.pdf;2019;8;AGOSTO;CUOTACOMUNIDAD;;72,24;92,17;0,00;92,17
8.pdf;2019;8;AGOSTO;ACS-AGUA CALIENTE;;19,93;92,17;0,00;92,17
